Date : 2023-04-25 18:40:28
Directory : /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python
Total : 407 files,  16405 codes, 2619 comments, 3856 blanks, all 22880 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Python       |        365 |     12,875 |      2,606 |      3,003 |     18,484 |
| Markdown     |         37 |      3,430 |          0 |        826 |      4,256 |
| Shell Script |          1 |         35 |          9 |         15 |         59 |
| YAML         |          2 |         30 |          4 |          5 |         39 |
| toml         |          1 |         27 |          0 |          4 |         31 |
| Ini          |          1 |          8 |          0 |          3 |         11 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                               |        407 |     16,405 |      2,619 |      3,856 |     22,880 |
| . (Files)                                                                                                                                                                                                                       |          8 |        601 |         13 |        127 |        741 |
| docs                                                                                                                                                                                                                            |         34 |      2,929 |          0 |        726 |      3,655 |
| docs/apis                                                                                                                                                                                                                       |          3 |         56 |          0 |         15 |         71 |
| docs/apis/tags                                                                                                                                                                                                                  |          3 |         56 |          0 |         15 |         71 |
| docs/components                                                                                                                                                                                                                 |         10 |        188 |          0 |         60 |        248 |
| docs/components/request_bodies                                                                                                                                                                                                  |          2 |         38 |          0 |         14 |         52 |
| docs/components/schema                                                                                                                                                                                                          |          6 |        123 |          0 |         36 |        159 |
| docs/components/security_schemes                                                                                                                                                                                                |          2 |         27 |          0 |         10 |         37 |
| docs/paths                                                                                                                                                                                                                      |         20 |      2,680 |          0 |        648 |      3,328 |
| docs/paths/pet                                                                                                                                                                                                                  |          2 |        302 |          0 |         64 |        366 |
| docs/paths/pet_find_by_status                                                                                                                                                                                                   |          1 |        155 |          0 |         39 |        194 |
| docs/paths/pet_find_by_tags                                                                                                                                                                                                     |          1 |        155 |          0 |         39 |        194 |
| docs/paths/pet_pet_id                                                                                                                                                                                                           |          3 |        445 |          0 |        110 |        555 |
| docs/paths/pet_pet_id_upload_image                                                                                                                                                                                              |          1 |        159 |          0 |         38 |        197 |
| docs/paths/store_inventory                                                                                                                                                                                                      |          1 |        109 |          0 |         26 |        135 |
| docs/paths/store_order                                                                                                                                                                                                          |          1 |        123 |          0 |         29 |        152 |
| docs/paths/store_order_order_id                                                                                                                                                                                                 |          2 |        235 |          0 |         61 |        296 |
| docs/paths/user                                                                                                                                                                                                                 |          1 |        120 |          0 |         27 |        147 |
| docs/paths/user_create_with_array                                                                                                                                                                                               |          1 |        109 |          0 |         22 |        131 |
| docs/paths/user_create_with_list                                                                                                                                                                                                |          1 |        109 |          0 |         22 |        131 |
| docs/paths/user_login                                                                                                                                                                                                           |          1 |        161 |          0 |         46 |        207 |
| docs/paths/user_logout                                                                                                                                                                                                          |          1 |         93 |          0 |         22 |        115 |
| docs/paths/user_username                                                                                                                                                                                                        |          3 |        405 |          0 |        103 |        508 |
| docs/servers                                                                                                                                                                                                                    |          1 |          5 |          0 |          3 |          8 |
| src                                                                                                                                                                                                                             |        321 |     12,417 |      2,346 |      2,730 |     17,493 |
| src/openapi_client                                                                                                                                                                                                              |        321 |     12,417 |      2,346 |      2,730 |     17,493 |
| src/openapi_client (Files)                                                                                                                                                                                                      |          7 |      3,302 |        682 |        498 |      4,482 |
| src/openapi_client/apis                                                                                                                                                                                                         |         22 |        204 |        126 |         93 |        423 |
| src/openapi_client/apis (Files)                                                                                                                                                                                                 |          3 |         73 |          3 |          8 |         84 |
| src/openapi_client/apis/paths                                                                                                                                                                                                   |         15 |         82 |         87 |         70 |        239 |
| src/openapi_client/apis/tags                                                                                                                                                                                                    |          4 |         49 |         36 |         15 |        100 |
| src/openapi_client/components                                                                                                                                                                                                   |         23 |        784 |        168 |        242 |      1,194 |
| src/openapi_client/components (Files)                                                                                                                                                                                           |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/components/request_bodies                                                                                                                                                                                    |         11 |         81 |         39 |         43 |        163 |
| src/openapi_client/components/request_bodies (Files)                                                                                                                                                                            |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/components/request_bodies/request_body_pet                                                                                                                                                                   |          6 |         26 |         24 |         20 |         70 |
| src/openapi_client/components/request_bodies/request_body_pet (Files)                                                                                                                                                           |          1 |         22 |          6 |          9 |         37 |
| src/openapi_client/components/request_bodies/request_body_pet/content                                                                                                                                                           |          5 |          4 |         18 |         11 |         33 |
| src/openapi_client/components/request_bodies/request_body_pet/content (Files)                                                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/components/request_bodies/request_body_pet/content/application_json                                                                                                                                          |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/components/request_bodies/request_body_pet/content/application_xml                                                                                                                                           |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/components/request_bodies/request_body_user_array                                                                                                                                                            |          4 |         55 |         15 |         22 |         92 |
| src/openapi_client/components/request_bodies/request_body_user_array (Files)                                                                                                                                                    |          1 |         17 |          6 |          7 |         30 |
| src/openapi_client/components/request_bodies/request_body_user_array/content                                                                                                                                                    |          3 |         38 |          9 |         15 |         62 |
| src/openapi_client/components/request_bodies/request_body_user_array/content (Files)                                                                                                                                            |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/components/request_bodies/request_body_user_array/content/application_json                                                                                                                                   |          2 |         38 |          9 |         14 |         61 |
| src/openapi_client/components/schema                                                                                                                                                                                            |          7 |        674 |        107 |        183 |        964 |
| src/openapi_client/components/schemas                                                                                                                                                                                           |          1 |          6 |         10 |          4 |         20 |
| src/openapi_client/components/security_schemes                                                                                                                                                                                  |          3 |         23 |         12 |         11 |         46 |
